n,scenario,spp,value
21,baseline,NUWO,17792
21,baseline,SOSP,1605450
21,baseline,SPTO,780100
21,baseline,YBCH,340556
21,baseline,YEWA,39481
21,baseline,TOTAL,2286338
21,scenario1,ATFL,88146
21,scenario1,BHGR,70876
21,scenario1,COYE,434395
21,scenario1,LAZB,41452
21,scenario1,NUWO,52375
21,scenario1,SOSP,1651161
21,scenario1,SPTO,862129
21,scenario1,YBCH,320194
21,scenario1,YEWA,52712
21,scenario1,TOTAL,2360870
21,scenario2_alt,ATFL,44347
21,scenario2_alt,BHGR,26607
21,scenario2_alt,COYE,363204
21,scenario2_alt,LAZB,19531
21,scenario2_alt,NUWO,12842
21,scenario2_alt,SOSP,1467166
21,scenario2_alt,SPTO,1013168
21,scenario2_alt,YBCH,269823
21,scenario2_alt,YEWA,36116
21,scenario2_alt,TOTAL,2311398
21,scenario3_alt,ATFL,87439
21,scenario3_alt,BHGR,67601
21,scenario3_alt,COYE,408108
21,scenario3_alt,LAZB,36702
21,scenario3_alt,NUWO,47850
21,scenario3_alt,SOSP,1526493
21,scenario3_alt,SPTO,1077081
21,scenario3_alt,YBCH,250909
21,scenario3_alt,YEWA,53028
21,scenario3_alt,TOTAL,2376923
22,baseline,ATFL,36236
22,baseline,BHGR,46845
22,baseline,COYE,338867
22,baseline,LAZB,4028
22,baseline,NUWO,44563
22,baseline,SOSP,1157549
22,baseline,SPTO,213764
22,baseline,YBCH,555
22,baseline,YEWA,151317
