scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario2_perennialexpand,Sacramento,FIELD_OTHER,Other Field Crops,1292.31,1415.1599999999999,-122.84999999999991,-0.08680997201729834,-8.680997201729834
scenario2_perennialexpand,Sacramento,GRAIN&HAY_OTHER,Other Grains,1073.52,1197.54,-124.01999999999998,-0.10356230272057718,-10.356230272057717
scenario2_perennialexpand,Sacramento,GRAIN&HAY_WHEAT,Wheat,1136.25,1326.4199999999998,-190.16999999999985,-0.14337087800244255,-14.337087800244255
scenario2_perennialexpand,Sacramento,GRASSLAND,Grassland,1943.01,2056.95,-113.93999999999983,-0.05539269306497476,-5.539269306497476
scenario2_perennialexpand,Sacramento,IDLE,Idle,3482.37,4144.05,-661.6800000000003,-0.15966988815289399,-15.9669888152894
scenario2_perennialexpand,Sacramento,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,148.59,8.01,140.58,17.55056179775281,1755.056179775281
scenario2_perennialexpand,Sacramento,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,3317.22,2755.62,561.5999999999999,0.20380168528316675,20.380168528316673
scenario2_perennialexpand,Sacramento,PASTURE_ALFALFA,Alfalfa,2142,2372.58,-230.57999999999993,-0.09718534253850236,-9.718534253850237
scenario2_perennialexpand,Sacramento,PASTURE_OTHER,Other Pasture,4159.62,4359.42,-199.80000000000018,-0.04583178496221978,-4.583178496221978
scenario2_perennialexpand,Sacramento,RICE,Rice,377.82,377.82,0,0,0
scenario2_perennialexpand,Sacramento,RIPARIAN,Riparian,2207.25,2404.62,-197.3699999999999,-0.08207949696833591,-8.207949696833591
scenario2_perennialexpand,Sacramento,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,167.13,188.45999999999998,-21.329999999999984,-0.11318051575931225,-11.318051575931225
